lat,lon
53.164088,77.127048
42.336136,51.552522
15.616375,-64.557256
144.007826,23.435182
153.390991,-63.122872
121.021087,-42.694074
24.880591,63.019792
47.278996,-20.941025
80.364856,39.659663
132.578337,52.317116
49.726583,35.803424
159.765595,83.418925
175.735222,-11.363564
91.450042,-41.879439
48.568608,42.234179
130.355988,-17.562233
28.741749,85.228755
2.352997,-69.399357
78.782340,68.241909
176.604510,-67.738928
35.720426,10.528270
22.876251,74.886402
24.277792,17.243734
122.834128,23.941384
42.951562,22.148365
158.950606,-22.434722
21.310760,83.532396
161.599169,-32.879187
2.280589,-11.278862
166.812195,76.001549
75.173898,28.589529
79.780202,-3.486109
128.387465,25.770126
82.349460,51.416187
146.951415,-54.194843
101.555175,62.448717
58.884571,-84.749796
18.316772,30.955281
125.242256,-55.004211
171.859991,17.279336
83.283901,49.580123
159.752634,-0.976537
27.507908,-67.116826
28.511592,81.357578
152.435032,33.553299
130.703179,-40.020747
99.558908,35.453065
72.127053,-42.168321
92.638929,52.667912
144.815808,7.934464
79.341855,5.970379
41.295787,34.517151
58.306050,-29.059680
97.146642,-12.174000
152.792121,-12.780007
136.884894,82.069442
169.528059,43.798112
150.844910,65.495409
112.285397,63.409961
85.811632,65.288497
61.672310,-89.299715
134.151206,-32.958537
70.322705,62.537684
82.779375,28.573545
79.004813,81.950945
167.578335,38.078239
49.244538,53.287812
15.826584,-53.442998
25.490241,-37.217338
88.417704,-71.016820
62.825976,-72.865925
42.629897,12.007247
69.238449,75.264728
64.292275,-64.824642
163.608036,79.933243
177.788078,79.383288
76.032921,74.619543
48.634064,33.946709
0.786147,4.909928
115.087133,74.447374
13.193757,-46.915349
58.824786,68.462408
72.205437,31.501877
118.500640,-47.300788
152.131335,4.464649
98.453502,-35.225648
177.593909,-62.841317
59.289550,58.380382
6.618038,-70.728866
65.212184,-27.029660
152.508636,-69.538234
156.311665,-86.673079
168.599583,-53.997017
71.230220,-51.613522
34.079268,-76.560852
60.764311,29.025653
160.546324,7.607805
61.178559,32.322953
84.552115,-26.272306
31.455930,8.793318
56.690866,26.566153
124.015242,-21.259059
44.557549,-55.667806
91.118189,-10.950318
31.015017,-81.366261
41.517184,-27.129228
160.688510,-54.032325
172.888180,-52.485810
75.107074,-45.060927
7.095943,-51.928406
131.861735,78.953619
127.206595,20.396414
88.576301,-31.346021
22.053403,64.312036
85.935741,81.708070
175.044936,34.010279
19.861259,-66.311768
94.739385,41.925585
43.475352,-76.404870
170.577166,-42.175637
178.983407,37.685673
67.554696,36.897858
10.732255,40.546147
101.212036,-42.308149
126.339237,49.198057
45.228522,12.563850
117.188982,64.015354
87.889551,-35.330420
171.753923,32.869865
2.580454,22.404826
91.194048,1.388629
33.537371,-60.032530
64.873747,-51.905047
53.606891,77.083098
172.811916,8.671612
0.575703,-57.442944
131.248216,77.821986
145.211057,-52.983903
158.781998,-33.373880
110.218043,40.939701
135.277683,57.730276
46.082520,40.367823
98.084878,-56.923413
70.738932,84.580700
137.327983,-6.191872
112.320083,-61.710860
7.513733,83.640525
60.539833,82.954183
13.678800,-64.929496
74.875309,-24.705236
55.370948,40.340176
74.782876,66.888805
121.955501,67.195622
12.353418,67.597979
85.238837,-47.874776
141.761666,-69.693316
91.741070,-36.248559
172.639370,45.994324
72.579406,3.738816
145.153347,-80.346244
131.839202,13.200098
8.153666,-78.816844
60.317854,-67.161237
126.943745,-78.682237
72.961019,-24.441710
134.624326,32.555629
175.159359,-4.905928
167.492808,29.550682
113.171298,9.072974
12.616019,46.131683
160.733052,60.024399
14.224234,-42.821192
83.974161,-13.932462
97.736195,-41.659150
30.293451,16.469289
88.226859,67.968656
104.216821,-20.730915
50.398665,-34.366630
119.177457,-24.424398
23.045671,67.159658
83.689601,-28.893343
15.513061,81.872940
130.408625,-60.138002
60.409333,23.277612
119.143659,-14.053161
161.837203,-8.301763
31.419053,-73.991314
161.086374,83.797878
96.187406,-39.031554
63.220850,-20.787749
56.113341,49.920260
81.415128,-0.059208
130.437133,11.118514
142.477157,-30.200246
141.783272,-30.976060
54.296196,-71.749154
64.042591,56.204797
24.845080,30.214691
57.262061,-61.792505
172.118337,19.239882
15.274313,8.922398
68.578246,83.788424
146.754713,6.474128
